                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.76228,                0.36705,                 0.8435,                0.96056,                0.96358,                0.98866,                0.72898,                0.91096,                0.40589,                0.85542,             0.00093385,             0.00093385,             0.00093385
                     37,                 0.7702,                0.36462,                0.84851,                0.96588,                0.96038,                0.98829,                0.72909,                0.89485,                0.39999,                0.85252,              0.0009197,              0.0009197,              0.0009197
                     38,                0.75903,                0.36655,                0.84171,                0.96244,                0.96109,                0.98915,                0.72478,                  0.891,                0.39127,                0.85083,             0.00090556,             0.00090556,             0.00090556
                     39,                0.74585,                0.35473,                0.84204,                0.94853,                0.96156,                0.98599,                0.71785,                0.90292,                0.39925,                0.85257,             0.00089141,             0.00089141,             0.00089141
                     40,                0.75792,                0.35901,                0.83966,                0.95841,                0.96842,                0.98652,                0.73143,                0.88756,                0.39068,                0.85219,             0.00087726,             0.00087726,             0.00087726
                     41,                0.75066,                0.35649,                0.84376,                 0.9545,                0.96852,                0.98823,                0.72757,                0.90021,                0.40869,                0.85144,             0.00086312,             0.00086312,             0.00086312
                     42,                0.75346,                0.35956,                0.83893,                0.95371,                0.97391,                0.98814,                0.72936,                 0.8918,                0.38396,                0.85048,             0.00084897,             0.00084897,             0.00084897
                     43,                0.73434,                0.35124,                0.83645,                 0.9564,                0.97074,                0.98968,                0.72172,                0.89382,                0.39276,                0.85056,             0.00083482,             0.00083482,             0.00083482
                     44,                0.74164,                0.35775,                0.84329,                  0.969,                0.95516,                0.98906,                0.72902,                0.90014,                0.38793,                0.85054,             0.00082067,             0.00082067,             0.00082067
                     45,                0.73468,                0.34882,                0.83918,                0.96094,                0.96148,                0.98888,                 0.7292,                0.88883,                0.38565,                0.84861,             0.00080653,             0.00080653,             0.00080653
                     46,                0.71911,                0.33786,                0.83929,                0.95841,                0.96463,                0.98578,                0.72728,                0.88567,                0.39905,                0.84855,             0.00079238,             0.00079238,             0.00079238
                     47,                0.72626,                0.34721,                0.83894,                0.96184,                0.96147,                0.98851,                0.73094,                0.88517,                0.39166,                 0.8494,             0.00077823,             0.00077823,             0.00077823
                     48,                0.73055,                0.34587,                0.83794,                0.96443,                0.96634,                0.98927,                0.73714,                0.88211,                 0.3841,                  0.848,             0.00076409,             0.00076409,             0.00076409
                     49,                0.72301,                0.33644,                0.83245,                0.96199,                0.97235,                0.98937,                0.73769,                0.88627,                0.37848,                0.84825,             0.00074994,             0.00074994,             0.00074994
                     50,                0.71542,                0.33627,                0.83969,                0.97097,                 0.9598,                0.98991,                0.74328,                0.86938,                0.37083,                 0.8464,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.7164,                0.34327,                0.84218,                0.96589,                0.97089,                0.99098,                0.74166,                0.88744,                0.38099,                   0.85,             0.00072164,             0.00072164,             0.00072164
                     52,                0.70523,                0.36585,                0.83321,                 0.9529,                0.98109,                0.99024,                0.74354,                0.87576,                0.36926,                0.84543,              0.0007075,              0.0007075,              0.0007075
                     53,                0.70135,                0.33202,                0.83048,                0.95776,                0.97801,                0.98968,                0.74606,                 0.8776,                0.37626,                0.84482,             0.00069335,             0.00069335,             0.00069335
                     54,                 0.6913,                0.32736,                  0.829,                0.96557,                0.97238,                 0.9901,                0.75189,                0.86111,                0.36935,                0.84226,              0.0006792,              0.0006792,              0.0006792
                     55,                0.69141,                0.32391,                0.83615,                0.96936,                0.97452,                0.98868,                0.74628,                0.86244,                 0.3696,                0.84459,             0.00066506,             0.00066506,             0.00066506
                     56,                 0.6882,                 0.3245,                0.83282,                0.97174,                0.97747,                0.99151,                0.74498,                0.87299,                 0.3657,                0.84632,             0.00065091,             0.00065091,             0.00065091
