                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00090556,             0.00090556,             0.00090556
                     39,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00089141,             0.00089141,             0.00089141
                     40,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00087726,             0.00087726,             0.00087726
                     41,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00086312,             0.00086312,             0.00086312
                     42,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00084897,             0.00084897,             0.00084897
                     43,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00083482,             0.00083482,             0.00083482
                     44,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00082067,             0.00082067,             0.00082067
                     45,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00080653,             0.00080653,             0.00080653
                     46,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00079238,             0.00079238,             0.00079238
                     47,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00077823,             0.00077823,             0.00077823
                     48,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00076409,             0.00076409,             0.00076409
                     49,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00074994,             0.00074994,             0.00074994
                     50,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                    nan,                    nan,                    nan,                0.89493,                0.87898,                0.91586,                0.65076,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
