                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78462,                0.39165,                0.84094,                0.94508,                 0.9641,                0.98683,                0.72588,                0.93037,                0.42485,                0.84992,             0.00093385,             0.00093385,             0.00093385
                     37,                0.78508,                0.38488,                  0.842,                0.95602,                0.96037,                0.98644,                0.72678,                0.93312,                0.41535,                0.85121,              0.0009197,              0.0009197,              0.0009197
                     38,                0.77643,                 0.3895,                0.83661,                0.94955,                0.95293,                0.98458,                0.72405,                0.91575,                0.42317,                0.84576,             0.00090556,             0.00090556,             0.00090556
                     39,                0.76395,                 0.3736,                0.83608,                0.94952,                0.96899,                0.98669,                0.72245,                0.93524,                 0.4212,                0.84895,             0.00089141,             0.00089141,             0.00089141
                     40,                0.77599,                0.38505,                0.83488,                0.95427,                0.96739,                0.98777,                0.72941,                0.92815,                0.41778,                0.85066,             0.00087726,             0.00087726,             0.00087726
                     41,                0.76946,                0.37447,                0.83919,                0.95161,                0.95201,                0.98531,                0.72889,                 0.9174,                 0.4206,                0.84719,             0.00086312,             0.00086312,             0.00086312
                     42,                0.77493,                0.38232,                0.83741,                0.95267,                0.96195,                0.98729,                 0.7293,                  0.911,                0.41156,                 0.8458,             0.00084897,             0.00084897,             0.00084897
                     43,                0.75412,                0.37519,                0.83435,                0.95146,                 0.9686,                0.98622,                0.73151,                0.90422,                0.41201,                0.84384,             0.00083482,             0.00083482,             0.00083482
                     44,                0.76152,                0.37594,                 0.8377,                 0.9526,                0.96927,                0.98735,                0.73447,                0.90865,                0.40698,                0.84546,             0.00082067,             0.00082067,             0.00082067
                     45,                0.75532,                0.37242,                0.83659,                0.95402,                0.97063,                0.98814,                0.73764,                0.90435,                0.40481,                0.84442,             0.00080653,             0.00080653,             0.00080653
                     46,                0.73239,                 0.3589,                0.83526,                0.95283,                 0.9706,                0.98723,                0.73774,                0.90874,                0.40223,                0.84444,             0.00079238,             0.00079238,             0.00079238
                     47,                0.75069,                0.37112,                0.83615,                0.95778,                0.97499,                0.98815,                0.72963,                0.90537,                0.40261,                0.84488,             0.00077823,             0.00077823,             0.00077823
                     48,                0.75666,                0.36719,                0.83578,                0.95213,                0.97074,                0.98619,                0.72972,                0.90299,                0.40577,                0.84373,             0.00076409,             0.00076409,             0.00076409
                     49,                0.74603,                   0.36,                 0.8299,                0.94213,                0.97703,                0.98924,                0.73446,                0.91756,                0.39856,                0.84631,             0.00074994,             0.00074994,             0.00074994
                     50,                0.73688,                0.36058,                0.83597,                0.95945,                 0.9632,                0.98586,                0.73193,                0.89655,                0.40333,                0.84219,             0.00073579,             0.00073579,             0.00073579
                     51,                 0.7336,                0.36783,                0.83873,                0.96136,                0.96907,                0.98993,                0.74475,                0.89345,                0.39951,                0.84154,             0.00072164,             0.00072164,             0.00072164
                     52,                0.72889,                0.38491,                0.83167,                0.95749,                0.97508,                0.98979,                 0.7486,                0.89252,                0.39414,                0.83951,              0.0007075,              0.0007075,              0.0007075
                     53,                0.73219,                0.35473,                0.82981,                 0.9496,                0.97874,                 0.9893,                0.74449,                0.89216,                 0.3889,                0.84047,             0.00069335,             0.00069335,             0.00069335
                     54,                0.72275,                0.35067,                0.82712,                0.94922,                0.97768,                0.99019,                0.74406,                0.88647,                0.38672,                0.83972,              0.0006792,              0.0006792,              0.0006792
                     55,                0.72744,                  0.354,                0.83574,                0.94662,                0.97214,                0.98806,                0.74004,                 0.8958,                 0.3972,                0.84239,             0.00066506,             0.00066506,             0.00066506
                     56,                0.72073,                0.35127,                0.83291,                0.95384,                0.97376,                0.99043,                0.74468,                0.87679,                0.38221,                0.84006,             0.00065091,             0.00065091,             0.00065091
                     57,                0.70885,                0.34318,                0.81833,                0.95545,                0.97394,                0.98858,                0.74982,                0.87234,                0.38545,                0.83991,             0.00063676,             0.00063676,             0.00063676
                     58,                0.70441,                0.34413,                0.81945,                0.96162,                0.96898,                0.98991,                0.75103,                0.88152,                0.38991,                0.83898,             0.00062262,             0.00062262,             0.00062262
                     59,                0.70689,                0.34107,                  0.824,                0.94966,                0.98198,                0.98803,                0.74936,                0.87385,                0.39044,                0.83801,             0.00060847,             0.00060847,             0.00060847
                     60,                0.69723,                0.33622,                0.83031,                0.96537,                0.96849,                0.99062,                0.75113,                0.86989,                0.38264,                0.83687,             0.00059432,             0.00059432,             0.00059432
                     61,                0.70483,                0.33584,                0.83339,                0.96247,                0.97393,                 0.9902,                0.75082,                 0.8688,                0.38519,                0.83684,             0.00058017,             0.00058017,             0.00058017
