                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80127,                0.41197,                0.84491,                0.95609,                0.94461,                0.98315,                0.71531,                0.94573,                0.44189,                0.85263,             0.00093385,             0.00093385,             0.00093385
                     37,                0.81478,                0.41169,                 0.8478,                 0.9469,                0.95823,                0.98584,                0.71437,                0.95549,                0.44253,                0.85572,              0.0009197,              0.0009197,              0.0009197
                     38,                0.80963,                0.41484,                0.84321,                0.95709,                 0.9601,                0.98456,                0.72027,                0.92713,                0.42444,                0.84907,             0.00090556,             0.00090556,             0.00090556
                     39,                0.78334,                0.39864,                0.84082,                0.96796,                0.92156,                0.98442,                   0.71,                0.97201,                0.44333,                0.85937,             0.00089141,             0.00089141,             0.00089141
                     40,                0.80388,                0.40381,                0.84046,                0.96006,                0.95382,                0.98793,                0.71793,                0.93977,                0.43878,                0.85199,             0.00087726,             0.00087726,             0.00087726
                     41,                0.80004,                0.40443,                0.84421,                0.94412,                0.96982,                0.98602,                0.71822,                0.94441,                0.42464,                0.85417,             0.00086312,             0.00086312,             0.00086312
                     42,                0.80126,                0.40254,                0.84133,                0.95448,                0.96053,                0.98768,                0.71741,                0.93634,                0.42052,                0.85172,             0.00084897,             0.00084897,             0.00084897
                     43,                 0.7763,                0.39089,                0.83722,                0.95543,                0.95164,                0.98419,                0.72054,                0.93597,                0.42119,                 0.8505,             0.00083482,             0.00083482,             0.00083482
                     44,                0.78736,                0.39432,                0.84349,                0.96438,                0.94837,                0.98581,                0.72056,                0.94849,                0.43033,                0.85415,             0.00082067,             0.00082067,             0.00082067
                     45,                0.78395,                0.39458,                0.84024,                 0.9686,                0.94326,                0.98689,                0.72424,                0.92598,                0.42095,                0.85024,             0.00080653,             0.00080653,             0.00080653
